	cnn_score	precision	precision_u8
0	2.2919482e-24	0.0	0
1	4.434894e-19	0.0019608030962884326	1
2	4.2816415e-18	0.005882361733485775	2
3	1.4117046e-17	0.009803951950614453	3
4	3.2978497e-17	0.013725493099695618	4
5	6.430771e-17	0.017647145441405665	5
6	1.1202625e-16	0.02156864320230223	6
7	1.7997605e-16	0.025490286259022166	7
8	2.7476904e-16	0.029411792445663387	8
9	4.0190443e-16	0.0333333978087591	9
10	5.6831755e-16	0.03725500754481281	10
11	7.8217706e-16	0.041176549489990055	11
12	1.0520807e-15	0.045098090203445684	12
13	1.3860659e-15	0.04901962324152853	13
14	1.7990954e-15	0.05294119503396	14
15	2.2957737e-15	0.05686275578388422	15
16	2.893971e-15	0.06078439556316939	16
17	3.6052344e-15	0.0647059614479627	17
18	4.439507e-15	0.0686277449964603	18
19	5.4340056e-15	0.07254903844748484	19
20	6.5860416e-15	0.07647065339520431	20
21	7.924669e-15	0.08039229623943023	21
22	9.4806805e-15	0.08431374070366371	22
23	1.1257514e-14	0.0882353263080542	23
24	1.33167115e-14	0.0921569288423355	24
25	1.5635622e-14	0.09607851372688014	25
26	1.82995e-14	0.10000000095222095	26
27	2.1299902e-14	0.10392158304617838	27
28	2.4705491e-14	0.10784324484047392	28
29	2.8528036e-14	0.11176482628783113	29
30	3.2796262e-14	0.11568636521385811	30
31	3.7571993e-14	0.1196079683276503	31
32	4.2870848e-14	0.12352951936756917	32
33	4.8744615e-14	0.1274510498618292	33
34	5.5423365e-14	0.13137259337469542	34
35	6.270057e-14	0.13529416488065815	35
36	7.080163e-14	0.1392157384418753	36
37	7.977008e-14	0.14313754106015264	37
38	8.9698173e-14	0.14705892721600966	38
39	1.00731374e-13	0.15098042234094777	39
40	1.1299963e-13	0.15490197625483937	40
41	1.2639172e-13	0.15882357401123703	41
42	1.4102813e-13	0.16274540784158809	42
43	1.5719087e-13	0.16666677779732242	43
44	1.7506099e-13	0.17058824655204574	44
45	1.9451694e-13	0.17451003694707912	45
46	2.1570647e-13	0.1784317748010349	46
47	2.388359e-13	0.18235322133055099	47
48	2.6413388e-13	0.18627470019866554	48
49	2.9154373e-13	0.19019608602255877	49
50	3.2181882e-13	0.1941180533654866	50
51	3.549493e-13	0.1980392503568904	51
52	3.9007653e-13	0.20196109166521792	52
53	4.2870625e-13	0.20588245362315116	53
54	4.7064777e-13	0.20980415894411242	54
55	5.164856e-13	0.21372576856119418	55
56	5.665521e-13	0.2176471800288612	56
57	6.2001803e-13	0.22156865989405838	57
58	6.779358e-13	0.22549035601692557	58
59	7.4155363e-13	0.22941201117272692	59
60	8.106759e-13	0.23333345698167007	60
61	8.8529173e-13	0.23725544996115566	61
62	9.670927e-13	0.24117665225948925	62
63	1.0549438e-12	0.24509831217125433	63
64	1.1512889e-12	0.24901982010084445	64
65	1.2550439e-12	0.252941211542162	65
66	1.3683269e-12	0.2568629233099965	66
67	1.4900207e-12	0.26078458124739	67
68	1.619038e-12	0.26470618605964613	68
69	1.761735e-12	0.2686274996625334	69
70	1.9163761e-12	0.2725493373714244	70
71	2.08485e-12	0.27647064120563714	71
72	2.264426e-12	0.2803924030158662	72
73	2.457613e-12	0.28431402309488507	73
74	2.666442e-12	0.2882356393930766	74
75	2.8936777e-12	0.2921578324977858	75
76	3.1380393e-12	0.2960787226069349	76
77	3.3998054e-12	0.30000010128173527	77
78	3.681518e-12	0.30392167288866534	78
79	3.997325e-12	0.3078431840725654	79
80	4.3289044e-12	0.31176481956625035	80
81	4.6813404e-12	0.3156864374569106	81
82	5.0689136e-12	0.3196079452350751	82
83	5.493582e-12	0.3235297158766607	83
84	5.955543e-12	0.3274513623866555	84
85	6.449298e-12	0.33137295420956836	85
86	6.982072e-12	0.33529505384346925	86
87	7.558237e-12	0.3392161044597013	87
88	8.174102e-12	0.34313764016132753	88
89	8.840656e-12	0.3470590656608623	89
90	9.582064e-12	0.3509807216947607	90
91	1.036092e-11	0.3549020773570494	91
92	1.1220873e-11	0.3588235698829678	92
93	1.2120769e-11	0.3627452243737235	93
94	1.3124862e-11	0.3666671113824326	94
95	1.421829e-11	0.37058834862272094	95
96	1.5367011e-11	0.37451007243326173	96
97	1.6630699e-11	0.37843146926724647	97
98	1.800627e-11	0.38235328495030685	98
99	1.95038e-11	0.3862752883829009	99
100	2.1092577e-11	0.3901961960494713	100
101	2.2833239e-11	0.3941179639178405	101
102	2.473245e-11	0.3980393758025068	102
103	2.6799497e-11	0.4019608661288633	103
104	2.899834e-11	0.40588236007575396	104
105	3.1412147e-11	0.4098043910366952	105
106	3.4032523e-11	0.4137257977583163	106
107	3.6846744e-11	0.41764716934595414	107
108	3.9875117e-11	0.4215691610568635	108
109	4.3248544e-11	0.42549188517675995	109
110	4.6863274e-11	0.42941177517491536	110
111	5.077645e-11	0.43333388618472757	111
112	5.5057632e-11	0.4372559480723226	112
113	5.9601934e-11	0.44117688384546583	113
114	6.46905e-11	0.44509820038166525	114
115	7.00983e-11	0.44902019059198395	115
116	7.610405e-11	0.4529411784919505	116
117	8.2512844e-11	0.45686282234381415	117
118	8.948096e-11	0.46078483051390984	118
119	9.706639e-11	0.46470692131629476	119
120	1.05411006e-10	0.46862811789327485	120
121	1.1445029e-10	0.47254956255118974	121
122	1.243171e-10	0.4764710337260194	122
123	1.3524125e-10	0.48039232240303975	123
124	1.4710824e-10	0.4843139745536892	124
125	1.5963209e-10	0.48823583552479255	125
126	1.7363234e-10	0.49215700494133374	126
127	1.8873911e-10	0.4960788691963175	127
