	cnn_score	precision	precision_u8
0	7.768749e-24	0.0	0
1	1.4643116e-16	0.0019610069270628028	1
2	1.6386702e-15	0.005882470090366354	2
3	5.8638283e-15	0.009804138182092692	3
4	1.4743686e-14	0.01372553448288183	4
5	3.1099773e-14	0.017647299286732587	5
6	5.7447794e-14	0.0215688647478417	6
7	9.798684e-14	0.025490332994258957	7
8	1.5831348e-13	0.029411807339532636	8
9	2.4313437e-13	0.03333359429531457	9
10	3.568881e-13	0.03725512851142854	10
11	5.0654224e-13	0.04117653732952942	11
12	7.000002e-13	0.045098139937858495	12
13	9.494009e-13	0.04901983380063313	13
14	1.2672635e-12	0.052941382351732624	14
15	1.6580647e-12	0.056863459037265085	15
16	2.133965e-12	0.06078438321267199	16
17	2.7100342e-12	0.06470625027781096	17
18	3.4055948e-12	0.06862776885103683	18
19	4.2241917e-12	0.07254921746267284	19
20	5.1995626e-12	0.0764708531312045	20
21	6.347326e-12	0.0803923068013137	21
22	7.682755e-12	0.08431403841107632	22
23	9.228595e-12	0.08823531174303256	23
24	1.09799e-11	0.09215729892569924	24
25	1.3010731e-11	0.0960785810311705	25
26	1.5345836e-11	0.10000046059404621	26
27	1.8018809e-11	0.10392179588269257	27
28	2.1009704e-11	0.10784322741950814	28
29	2.4360809e-11	0.11176497227658044	29
30	2.8204213e-11	0.11568627594554226	30
31	3.2599482e-11	0.11960812679438304	31
32	3.729104e-11	0.12352983254528982	32
33	4.2693026e-11	0.1274510595612124	33
34	4.8652457e-11	0.13137289837349853	34
35	5.524171e-11	0.1352943301711622	35
36	6.260005e-11	0.13921621199250478	36
37	7.072521e-11	0.14313755119420368	37
38	7.968215e-11	0.14705894022829613	38
39	8.964034e-11	0.15098098427046647	39
40	1.00496056e-10	0.15490261823947193	40
41	1.12275154e-10	0.1588237666351343	41
42	1.2541072e-10	0.1627455138274181	42
43	1.3940339e-10	0.1666671060721171	43
44	1.5527533e-10	0.17058873646545758	44
45	1.7235803e-10	0.17451098946464816	45
46	1.9111038e-10	0.17843180825463656	46
47	2.1151811e-10	0.1823536074946165	47
48	2.3389443e-10	0.18627499834399663	48
49	2.574061e-10	0.1901966015029417	49
50	2.833147e-10	0.19411795403930132	50
51	3.1180555e-10	0.1980396458183924	51
52	3.4316935e-10	0.20196140154618525	52
53	3.758877e-10	0.20588300609397558	53
54	4.121733e-10	0.20980456214261034	54
55	4.5037318e-10	0.21372558356106208	55
56	4.9230114e-10	0.21764729844077335	56
57	5.38875e-10	0.22156941747213466	57
58	5.873985e-10	0.22549050865801445	58
59	6.421368e-10	0.22941194485819028	59
60	6.9995193e-10	0.23333399632287444	60
61	7.620649e-10	0.23725498930784517	61
62	8.277234e-10	0.24117684250017635	62
63	8.995656e-10	0.24509818431411	63
64	9.745751e-10	0.2490202983746993	64
65	1.0563024e-09	0.2529418954136504	65
66	1.1466644e-09	0.2568627545039851	66
67	1.243665e-09	0.2607857094207121	67
68	1.3457693e-09	0.26470665352868084	68
69	1.4528384e-09	0.26862790516763124	69
70	1.5702337e-09	0.272549515023232	70
71	1.6953812e-09	0.2764709055665384	71
72	1.8293508e-09	0.28039252154129957	72
73	1.9686544e-09	0.2843139519214348	73
74	2.1226265e-09	0.28823626943352976	74
75	2.2893092e-09	0.29215710956770036	75
76	2.4652411e-09	0.2960791830147509	76
77	2.6534377e-09	0.3000005539160059	77
78	2.8616067e-09	0.3039221828351536	78
79	3.0759642e-09	0.3078440913080931	79
80	3.3033336e-09	0.3117651248904145	80
81	3.5516268e-09	0.3156883990787789	81
82	3.8115604e-09	0.3196082563357262	82
83	4.096858e-09	0.3235305478065147	83
84	4.4100075e-09	0.32745133432701945	84
85	4.7348134e-09	0.33137369669520667	85
86	5.0840363e-09	0.335295349309397	86
87	5.4540834e-09	0.3392166991417672	87
88	5.849369e-09	0.3431383693463633	88
89	6.271006e-09	0.3470594617731282	89
90	6.718664e-09	0.35098095349419767	90
91	7.206095e-09	0.35490338732407	91
92	7.725159e-09	0.3588241663306567	92
93	8.283809e-09	0.36274522978272994	93
94	8.878182e-09	0.36666726467103616	94
95	9.492887e-09	0.3705890126103186	95
96	1.0148915e-08	0.3745111180044187	96
97	1.0850754e-08	0.3784327792250952	97
98	1.1623233e-08	0.3823544843733515	98
99	1.2426673e-08	0.38627563995512026	99
100	1.3302841e-08	0.39019749544724636	100
101	1.4237988e-08	0.39411912064950116	101
102	1.5229515e-08	0.3980399606439605	102
103	1.6295624e-08	0.4019614956971487	103
104	1.7456895e-08	0.4058824177033702	104
105	1.8652404e-08	0.40980702028539273	105
106	1.9917358e-08	0.4137255034997209	106
107	2.1345436e-08	0.4176484320144217	107
108	2.286099e-08	0.42156868603143927	108
109	2.4489239e-08	0.4254917039313809	109
110	2.6182171e-08	0.42941242527214885	110
111	2.8000414e-08	0.4333345146057592	111
112	2.992152e-08	0.43725583006804236	112
113	3.195711e-08	0.4411771756722547	113
114	3.418631e-08	0.44509822863385096	114
115	3.6489833e-08	0.44902056511031296	115
116	3.899488e-08	0.4529431433335066	116
117	4.164671e-08	0.45686333382833	117
118	4.4302773e-08	0.4607861618411112	118
119	4.736017e-08	0.464706368735638	119
120	5.062084e-08	0.46862912727681605	120
121	5.4106618e-08	0.4725509407974504	121
122	5.790583e-08	0.4764714802419381	122
123	6.1795106e-08	0.4803959270399527	123
124	6.595971e-08	0.48431520969349573	124
125	7.059714e-08	0.4882374051122895	125
126	7.560645e-08	0.4921576488331272	126
127	8.0744194e-08	0.4960796006534831	127
128	8.6488676e-08	0.5000003403055593	128
129	9.24826e-08	0.5039237671722783	129
130	9.8798225e-08	0.5078446403720566	130
131	1.05762574e-07	0.5117653337240908	131
132	1.1296441e-07	0.5156882701730106	132
133	1.2111316e-07	0.5196085807333575	133
134	1.3000165e-07	0.5235301106790087	134
135	1.3906472e-07	0.5274514505504108	135
136	1.486442e-07	0.5313732155413504	136
137	1.5932936e-07	0.5352957609307567	137
138	1.705915e-07	0.5392158154455562	138
139	1.8298043e-07	0.543137467481171	139
140	1.9605919e-07	0.5470594713867554	140
141	2.1049411e-07	0.5509822778813794	141
142	2.2562293e-07	0.5549022670027154	142
143	2.4217698e-07	0.558824815427183	143
144	2.6023113e-07	0.562746191531069	144
145	2.796685e-07	0.5666686685287786	145
146	3.006606e-07	0.5705887923495067	146
147	3.2343746e-07	0.5745124621885933	147
148	3.4751042e-07	0.5784332655302765	148
149	3.73624e-07	0.5823546195323184	149
150	4.0187317e-07	0.5862749094502909	150
151	4.3170726e-07	0.5901979845132022	151
152	4.6567882e-07	0.5941187439150069	152
153	5.0066313e-07	0.5980415921997443	153
154	5.40068e-07	0.6019618057350075	154
155	5.824511e-07	0.6058839546197625	155
156	6.2727423e-07	0.6098092443201719	156
157	6.7695464e-07	0.6137261607867255	157
158	7.318669e-07	0.6176491299318978	158
159	7.9162953e-07	0.6215688128089736	159
160	8.5546515e-07	0.625492774344437	160
161	9.2846483e-07	0.6294129298787364	161
162	1.0069658e-06	0.6333340813154238	162
163	1.0904157e-06	0.6372578657637813	163
164	1.1801408e-06	0.6411771140416513	164
165	1.2834518e-06	0.6450995165814433	165
166	1.3979007e-06	0.6490218129291615	166
